trial36_4_0.25, 000600, 88, 112, PRDE, 16600, 20, 830.000000, ZIC, 21938, 20, 1096.900000, ZIP, 8888, 20, 444.400000, 
trial37_4_0.25, 000600, 88, 127, PRDE, 13412, 20, 670.600000, ZIC, 16778, 20, 838.900000, ZIP, 18214, 20, 910.700000, 
trial38_4_0.25, 000600, 98, 152, PRDE, 15909, 20, 795.450000, ZIC, 13072, 20, 653.600000, ZIP, 17442, 20, 872.100000, 
trial39_4_0.25, 000600, 83, 114, PRDE, 14396, 20, 719.800000, ZIC, 19003, 20, 950.150000, ZIP, 14884, 20, 744.200000, 
trial40_4_0.25, 000600, 106, 123, PRDE, 7820, 20, 391.000000, ZIC, 16412, 20, 820.600000, ZIP, 24638, 20, 1231.900000, 
trial41_4_0.25, 000600, 103, 137, PRDE, 14159, 20, 707.950000, ZIC, 13601, 20, 680.050000, ZIP, 20384, 20, 1019.200000, 
trial42_4_0.25, 000600, 85, 126, PRDE, 17203, 20, 860.150000, ZIC, 14051, 20, 702.550000, ZIP, 17108, 20, 855.400000, 
trial43_4_0.25, 000600, 117, 141, PRDE, 7316, 20, 365.800000, ZIC, 13562, 20, 678.100000, ZIP, 24265, 20, 1213.250000, 
trial44_4_0.25, 000600, 94, 148, PRDE, 15446, 20, 772.300000, ZIC, 17713, 20, 885.650000, ZIP, 17155, 20, 857.750000, 
trial45_4_0.25, 000600, 79, 123, PRDE, 22649, 20, 1132.450000, ZIC, 10297, 20, 514.850000, ZIP, 16468, 20, 823.400000, 
trial46_4_0.25, 000600, 107, 125, PRDE, 12290, 20, 614.500000, ZIC, 14660, 20, 733.000000, ZIP, 23140, 20, 1157.000000, 
trial47_4_0.25, 000600, 70, 157, PRDE, 12999, 20, 649.950000, ZIC, 14323, 20, 716.150000, ZIP, 21082, 20, 1054.100000, 
trial48_4_0.25, 000600, 108, 115, PRDE, 10771, 20, 538.550000, ZIC, 16757, 20, 837.850000, ZIP, 20601, 20, 1030.050000, 
trial49_4_0.25, 000600, 93, 132, PRDE, 12055, 20, 602.750000, ZIC, 15694, 20, 784.700000, ZIP, 19997, 20, 999.850000, 
trial0_4_0.5, 000600, 96, 149, PRDE, 9303, 20, 465.150000, ZIC, 19223, 20, 961.150000, ZIP, 20795, 20, 1039.750000, 
trial1_4_0.5, 000600, 81, 168, PRDE, 17534, 20, 876.700000, ZIC, 11149, 20, 557.450000, ZIP, 20717, 20, 1035.850000, 
trial2_4_0.5, 000600, 72, 109, PRDE, 14003, 20, 700.150000, ZIC, 14284, 20, 714.200000, ZIP, 20078, 20, 1003.900000, 
